id,firstName,lastName,email,phoneNumber,address,employeeType,positionLevel,role,sssNumber,philHealthNumber,tin,pagIbigNumber,compensation
10001,Manuel III,Garcia,manuel.garcia@motorph.com,966-860-270,"Valero Carpark Building Valero Street 1227, Makati City",Regular,Chief Executive Officer,HR,44-4506057-3,820126853951,442-605-657-000,691295330870,90000.00
10002,Antonio,Lim,antonio.lim@motorph.com,171-867-411,"San Antonio De Padua 2, Block 1 Lot 8 and 2, Dasmarinas, Cavite",Regular,Chief Operating Officer,Employee,52-2061274-9,331735646338,683-102-776-000,663904995411,60000.00
10003,Bianca Sofia,Aquino,bianca.aquino@motorph.com,966-889-370,"Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100, Quezon City",Regular,Chief Finance Officer,Finance,30-8870406-2,177451189665,971-711-280-000,171519773969,60000.00
10004,Isabella,Reyes,isabella.reyes@motorph.com,786-868-477,"460 Solanda Street Intramuros 1000, Manila",Regular,Chief Marketing Officer,Employee,40-2511815-0,341911411254,876-809-437-000,416946776041,60000.00
10005,Eduard,Hernandez,eduard.hernandez@motorph.com,088-861-012,"National Highway, Gingoog, Misamis Occidental",Regular,IT Operations and Systems,IT,50-5577638-1,957436191812,031-702-374-000,952347222457,52670.00
10006,Andrea Mae,Villanueva,andrea.villanueva@motorph.com,918-621-603,"17/85 Stracke Via Suite 042, Poblacion, Las Pinas 4783 Dinagat Islands",Regular,Managerial,HR,49-1632020-8,382189453145,317-674-022-000,441093369646,52670.00
10007,Brad,San Jose,brad.sanjose@motorph.com,797-009-261,"99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi",Regular,Supervisory,HR,40-2400714-1,239192926939,672-474-690-000,210850209964,42975.00
10008,Alice,Romualdez,alice.romualdez@motorph.com,983-606-799,"12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte",Regular,Rank and File,HR,55-4476527-2,545652640232,888-572-294-000,211385556888,22500.00
10009,Rosie,Atienza,rosie.atienza@motorph.com,266-036-427,"90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte",Regular,Rank and File,HR,41-0644692-3,708988234853,604-997-793-000,260107732354,22500.00
10010,Roderick,Alvaro,roderick.alvaro@motorph.com,053-381-386,"#284 T. Morato corner, Scout Rallos Street, Quezon City",Regular,Accounting Head,Finance,64-7605054-4,578114853194,525-420-419-000,799254095212,52670.00
10011,Anthony,Salcedo,anthony.salcedo@motorph.com,070-766-300,"93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate",Regular,Managerial,Finance,26-9647608-3,126445315651,210-805-911-000,218002473454,50825.00
10012,Josie,Lopez,josie.lopez@motorph.com,478-355-427,"49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro",Regular,Supervisory,Finance,44-8563448-3,431709011012,218-489-737-000,113071293354,38475.00
10013,Martha,Farala,martha.farala@motorph.com,329-034-366,"42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte",Regular,Rank and File,Finance,45-5656375-0,233693897247,210-835-851-000,631130283546,24000.00
10014,Leila,Martinez,leila.martinez@motorph.com,877-110-749,"37/46 Kulas Roads, Maragondon 0962 Quirino",Regular,Rank and File,Finance,27-2090996-4,515741057496,275-792-513-000,101205445886,24000.00
10015,Fredrick,Romualdez,fredrick.romualdez@motorph.com,023-079-009,"22A/52 Lubowitz Meadows, Pililla 4895 Zambales",Regular,Managerial,Employee,26-8768374-1,308366860059,598-065-761-000,223057707853,53500.00
10016,Christian,Mata,christian.mata@motorph.com,783-776-744,"90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu",Regular,Supervisory,Employee,49-2959312-6,824187961962,103-100-522-000,631052853464,42975.00
10017,Selena,De Leon,selena.deleon@motorph.com,975-432-139,"89A Armstrong Trace, Compostela 7874 Maguindanao",Regular,Supervisory,Employee,27-2090208-8,587272469938,482-259-498-000,719007608464,41850.00
